ds,yhat,yhat_lower,yhat_upper
2016-09-15,-5811.63687754099,-18997.971685229226,8431.579268328804
2016-10-03,-4194.389005529718,-18603.493899890265,8149.037842364265
2016-10-04,-3839.438798896125,-16960.19186972265,8709.772631658258
2016-10-05,-2659.8125576355515,-15115.068635500715,10486.611327573688
2016-10-06,-2944.679906992408,-16420.890368450026,9865.263183047691
2016-10-07,-3136.6664570286393,-15691.237018686737,10815.747348836536
2016-10-08,-7454.950139421604,-20181.677142772256,5606.854565913433
2016-10-09,-3978.00909985021,-17211.29166778893,9404.700067454172
2016-10-10,7705.735848697972,-4832.024821687442,20933.985414088875
2016-12-23,6540.122532767797,-7829.511335646503,18583.782043286556
2017-01-05,9419.54540240444,-3805.821109033735,22623.67852526927
2017-01-06,8201.529755869975,-5251.607735880768,20667.595508115453
2017-01-07,2649.0526163522663,-10816.234875989372,15756.058087634518
2017-01-08,4679.449508334095,-8558.522092913432,17553.536992322075
2017-01-09,14706.360171854574,1916.6177289355599,28127.324792547297
2017-01-10,14368.623457625434,420.9358646522489,27918.341619707662
2017-01-11,14557.284231534151,1911.8166023948272,27803.46306608702
2017-01-12,12979.957653228994,-232.56482018987458,25615.633611553643
2017-01-13,11198.35563475058,-2657.6992671863463,24115.718890706572
2017-01-14,5005.036330355497,-8467.29825695857,16645.755103337895
2017-01-15,6340.30793754092,-6858.268584216726,20281.3093601135
2017-01-16,15738.01936751106,3235.6133270353416,28372.504486164944
2017-01-17,14762.936875044852,1818.1953258342055,27495.428665043502
2017-01-18,14328.051265052009,1910.6078818704684,28349.2429966465
2017-01-19,12161.42590613042,-771.6227526197398,24637.013340415182
2017-01-20,9843.229568057279,-2397.6305658155934,22376.39081066137
2017-01-21,3182.0619256099217,-9778.631449201102,15876.970257751227
2017-01-22,4131.512880285814,-10404.217236857749,15761.525867227334
2017-01-23,13138.73066022336,-636.0713237056575,26752.614494518424
2017-01-24,11872.527955998612,-631.7125164269258,24820.424643331207
2017-01-25,11249.722350767703,-2544.0185415736073,24493.777860928592
2017-01-26,8998.971381895211,-4111.973312828463,22434.84083627461
2017-01-27,6697.917880312989,-6520.642580493534,20201.880030291795
2017-01-28,149.7129197137001,-12383.930011857561,12945.193047896519
2017-01-29,1299.8496815766139,-11839.707786104133,14363.217487272108
2017-01-30,10585.073335351037,-3298.3303565855203,23518.31614079535
2017-01-31,9661.88463602622,-2908.4305527146726,23512.39369234092
2017-02-01,9433.320605541676,-4940.664029458542,22282.126556445877
2017-02-02,7613.258802994311,-5615.868303288937,20640.4536054874
2017-02-03,5764.046469533861,-7865.455551253421,18973.4051337974
2017-02-04,-326.4925848147723,-14195.599092842649,12899.816098127625
2017-02-05,1336.012911049911,-11109.155137433807,14179.156085948644
2017-02-06,11110.532703836374,-1342.6890454616407,24346.06824572738
2017-02-07,10640.842606379832,-2183.22242849584,23350.947800242902
2017-02-08,10818.890021502977,-2054.8177483471463,24521.88592149727
2017-02-09,9349.390259154992,-3067.019915750033,21547.85389304701
2017-02-10,7787.680586916684,-5799.043207011838,22123.646560092406
2017-02-11,1916.8797780726381,-10360.052124952846,14422.25990499478
2017-02-12,3665.269451694645,-9405.968998400383,17058.11153037556
2017-02-13,13455.648296469888,1565.5105032464444,26887.353927059394
2017-02-14,12934.166227025245,-14.248180705607329,25607.87644358329
2017-02-15,12997.314788530688,-47.944479384460166,25848.798223681362
2017-02-16,11356.317005157975,-641.3613719172579,24265.31935724369
2017-02-17,9574.718416996671,-4426.463489209218,23349.763220836216
2017-02-18,3445.23631564696,-9998.944350628599,16219.245953362988
2017-02-19,4906.793969615232,-8223.769579780068,18273.268672530965
2017-02-20,14393.502344024746,1115.2625133700294,28392.27432437151
2017-02-21,13563.108337843401,-235.14382999317968,26215.54935399228
2017-02-22,13323.598021688907,-667.0223891146754,25956.16315060288
2017-02-23,11397.210066321733,-2035.0662822499055,25203.969001962847
2017-02-24,9357.672569995277,-2232.7284274918957,22195.324752770444
2017-02-25,3068.203355117874,-9771.787135602262,15658.502878654846
2017-02-26,4413.847635949007,-8752.664338303253,17672.19314879468
2017-02-27,13834.648180188535,-176.81509394893794,27068.971438087083
2017-02-28,12992.448687689508,-66.48523468191289,26012.288326371687
2017-03-01,12797.385692261229,-23.216788734725895,25213.16575256287
2017-03-02,10971.854286256244,-2397.900082493685,23602.359678546207
2017-03-03,9087.761465366497,-4707.420396032349,22024.073168493716
2017-03-04,2943.1333154006534,-9938.639478769477,16141.329416853248
2017-03-05,4479.008966363652,-9048.082777504413,16684.34708222486
